2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.211852 [guppy/info] Read '1832b79a-6e2f-4c89-902a-d9262dc09ffd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.211884 [guppy/info] Read '188ee845-29be-4253-b497-ea154ddd8a0b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.212980 [guppy/info] Read '18933cf7-9e75-40e1-8a74-544834bee6b1' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.214066 [guppy/info] Read '190b963a-6aba-459b-b03d-c8bb9a77b42f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.216266 [guppy/info] Read '19248e80-a7f0-4129-9a31-9e109fbbfa85' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.218443 [guppy/info] Read '19498a13-aa54-434a-b720-7888135e0f61' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.223799 [guppy/info] Read '1a4ada27-b447-48b4-9b56-b92b2e2c57de' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.229167 [guppy/info] Read '1a74fbba-3187-4d49-8f59-c61a51f3feb3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.230298 [guppy/info] Read '1a9bc835-9967-4fdf-b790-6ac417216977' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.230332 [guppy/info] Read '1ab2ff19-5fea-47f1-8377-8d376627938c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.234629 [guppy/info] Read '1b0d3b65-eb58-4a69-830f-03958dc7003b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.235735 [guppy/info] Read '1b3f88b7-dcbd-4538-bf5a-9c0a70a04394' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.236853 [guppy/info] Read '1b553be3-98d9-4c0b-bab1-53b1621e81f8' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.236894 [guppy/info] Read '1b625e17-ce37-4391-8b12-1ac686e0be56' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.238002 [guppy/info] Read '1be832a8-4043-4530-9972-f82ef8250d6a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.238028 [guppy/info] Read '1c195c04-cdde-4035-9813-042249e37765' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.238054 [guppy/info] Read '1c54bbb3-b293-4ffb-ac5c-01e514f8d414' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.239159 [guppy/info] Read '1c809a0e-b28c-43d4-bd96-3bd11ef13af5' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.240257 [guppy/info] Read '1cb27f0d-482b-42cd-8b4c-9d3eb9f5c14c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.240282 [guppy/info] Read '1cc96062-399d-46c5-bae1-62d708d9f398' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.241379 [guppy/info] Read '1cf2e7e5-10d1-499d-a48d-05338ec05e0a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.243541 [guppy/info] Read '1d5d33ee-d637-4b3f-b083-9147948708e0' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.244636 [guppy/info] Read '1d668d63-7e9f-4fb6-976b-0a5d0a2f4fcf' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.245742 [guppy/info] Read '1d805b0e-1b77-48cf-b731-472070d6b9dc' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.247901 [guppy/info] Read '1d9741e8-a99d-4a95-898a-209a493bc7d6' from file "zymo_test_2.fast5" has been loaded.
